水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1472,彦根市金剛寺町　 ,100,2194162,-8555954,0351342456,1361427888,
01,消火栓,彦根市,1473,彦根市原町　 ,100,2472930,-8209758,0351534580,1361618527,
01,消火栓,彦根市,1474,彦根市原町　 ,200,2483543,-8211303,0351534069,1361622725,
01,消火栓,彦根市,1475,彦根市原町　 ,150,2492365,-8217835,0351531941,1361626209,
01,消火栓,彦根市,1476,彦根市中山町　 ,75,2786242,-7950732,0351658350,1361822818,
01,消火栓,彦根市,1477,彦根市中山町　 ,75,2792433,-7944124,0351700488,1361825277,
01,消火栓,彦根市,1478,彦根市中山町　 ,75,2794796,-7948354,0351659113,1361826207,
01,消火栓,彦根市,1479,彦根市中山町　 ,75,2680320,-7867248,0351725548,1361740992,
01,消火栓,彦根市,1480,彦根市中山町　 ,75,2685303,-7860910,0351727600,1361742972,
01,消火栓,彦根市,1481,彦根市中山町　 ,75,2694112,-7856669,0351728968,1361746464,
01,消火栓,彦根市,1482,彦根市肥田町　 ,150,1867947,-8874858,0351159193,1361218596,
01,消火栓,彦根市,1483,彦根市肥田町　 ,100,1882088,-8856606,0351205108,1361224202,
01,消火栓,彦根市,1484,彦根市日夏町　 ,150,2049364,-8518580,0351354696,1361330648,
01,消火栓,彦根市,1485,彦根市日夏町　 ,150,2058161,-8505028,0351359088,1361334140,
01,消火栓,彦根市,1486,彦根市日夏町　 ,100,2069902,-8505334,0351358980,1361338784,
01,消火栓,彦根市,1487,彦根市日夏町　 ,100,2062192,-8516554,0351355344,1361335724,
01,消火栓,彦根市,1488,彦根市日夏町　 ,200,2072203,-8516642,0351355308,1361339684,
01,消火栓,彦根市,1489,彦根市日夏町　 ,100,2053213,-8530218,0351350916,1361332159,
01,消火栓,彦根市,1490,彦根市日夏町　 ,200,2063859,-8529307,0351351204,1361336372,
01,消火栓,彦根市,1491,彦根市高宮町　 ,150,2444110,-8564076,0351339612,1361606744,
01,消火栓,彦根市,1492,彦根市高宮町　 ,150,2463623,-8577223,0351335328,1361614448,
01,消火栓,彦根市,1493,彦根市東沼波町　 ,75,2344495,-8406940,0351430696,1361527504,
01,消火栓,彦根市,1494,彦根市日夏町　 ,200,2037009,-8488104,0351404596,1361325788,
01,消火栓,彦根市,1495,彦根市日夏町　 ,200,2042359,-8479440,0351407404,1361327912,
01,消火栓,彦根市,1496,彦根市日夏町　 ,200,2047891,-8471219,0351410068,1361330108,
01,消火栓,彦根市,1497,彦根市日夏町　 ,200,2053059,-8462556,0351412876,1361332159,
01,消火栓,彦根市,1498,彦根市原町　 ,100,2486148,-8235175,0351526319,1361623730,
